Authority,Events,Trials
York,30,30
South Tyneside,62,65
Hartlepool,19,20
Portsmouth,28,30
Windsor and Maidenhead,14,15
Bexley,37,40
Redcar and Cleveland,28,30
Kingston upon Thames,14,15
Poole,14,15
Shropshire,32,35
Thurrock,23,25
Cornwall,99,110
Kensington and Chelsea,18,20
Wakefield,49,55
Dorset,22,25
Durham,70,80
Lewisham,62,70
Hampshire,135,155
Isle of Wight,22,25
Lincolnshire,104,120
North Yorkshire,52,60
Northumberland,48,55
Oxfordshire,65,75
Wandsworth,30,35
Bath and North East Somerset,13,15
Solihull,22,25
West Berkshire,22,25
Wokingham,17,20
Brighton and Hove,72,85
Leeds,162,190
Leicester,64,75
Stockport,43,50
Blackpool,46,55
Camden,25,30
Ealing,46,55
North Tyneside,59,70
Southwark,71,85
Walsall,80,95
Knowsley,25,30
Newcastle upon Tyne,70,85
Tower Hamlets,45,55
Bristol,85,105
Redbridge,16,20
Slough,28,35
Swindon,28,35
Cambridgeshire,48,60
Cumbria,68,85
Leicestershire,44,55
Middlesbrough,32,40
Worcestershire,64,80
North Lincolnshire,24,30
Warwickshire,63,80
Bolton,86,110
Bournemouth,20,25
Bury,27,35
Coventry,59,75
East Sussex,62,80
Havering,27,35
Somerset,55,70
Kingston Upon Hull,89,115
Stoke-on-Trent,77,100
Trafford,23,30
Warrington,23,30
Barking and Dagenham,46,60
Gateshead,57,75
Islington,23,30
Southampton,53,70
Southend-on-Sea,34,45
Suffolk,144,190
Westminster,30,40
Barnsley,38,50
Darlington,19,25
Gloucestershire,45,60
Herefordshire,19,25
South Gloucestershire,15,20
Wiltshire,38,50
Enfield,30,40
Norfolk,118,160
Peterborough,67,90
Plymouth,59,80
Rotherham,41,55
Staffordshire,78,105
Surrey,70,95
Telford and Wrekin,33,45
Buckinghamshire,44,60
Devon,66,90
Luton,29,40
Manchester,120,165
Sefton,40,55
Reading,32,45
Rochdale,36,50
Sutton,18,25
Lancashire,142,200
Liverpool,85,120
Milton Keynes,32,45
St. Helens,39,55
Sunderland,60,85
Tameside,46,65
Bradford,81,115
Doncaster,49,70
Dudley,39,55
Lambeth,32,45
North East Lincolnshire,28,40
Sheffield,105,150
Birmingham,155,225
Cheshire East,10,15
Kent,162,235
West Sussex,79,115
Wirral,48,70
Derbyshire,95,140
Northamptonshire,95,140
Torbay,24,35
Wigan,44,65
Essex,111,165
Greenwich,44,65
Hammersmith and Fulham,23,35
Harrow,23,35
Salford,57,85
Hertfordshire,109,165
Hounslow,30,45
Calderdale,29,45
Croydon,23,35
Kirklees,62,95
Newham,62,95
North Somerset,16,25
Haringey,19,30
Sandwell,57,90
Wolverhampton,41,65
Oldham,43,70
Barnet,24,40
Blackburn with Darwen,21,35
Bromley,21,35
Medway,32,55
Nottingham,59,100
Stockton-on-Tees,18,30
Waltham Forest,21,35
Halton,20,35
Hillingdon,35,60
Derby,54,95
East Riding of Yorkshire,34,60
Nottinghamshire,52,95
Brent,23,45
Hackney,24,55
