District,School,Tested,% Tested,Total,Reading/Writing,Math
Alamance-Burlington Schools,Alamance-Burlington Middle/Ear,<10,*,*,*,*
Alamance-Burlington Schools,Eastern Alamance High,124,47.3,1076,538,538
Alamance-Burlington Schools,Graham High,104,64.6,928,463,465
Alamance-Burlington Schools,Hugh M Cummings High,59,30.9,972,481,491
Alamance-Burlington Schools,Southern High,156,46.4,1068,543,525
Alamance-Burlington Schools,Walter M Williams High,142,55.7,1038,526,512
Alamance-Burlington Schools,Western Alamance High,163,53.4,1118,565,554
Alamance-Burlington Schools,District Average,757,49.2,1049,528,521
Alexander County Schools,Alexander Central High,99,28.9,1114,562,552
Alexander County Schools,District Average,99,28.9,1114,562,552
Alleghany County Schools,Alleghany High,20,23.5,1147,563,584
Alleghany County Schools,District Average,20,23.5,1147,563,584
Anson County Schools,Anson Academy,<10,*,*,*,*
Anson County Schools,Anson Co. Early College High,50,67.6,1001,518,483
Anson County Schools,Anson High School,90,58.4,935,474,461
Anson County Schools,District Average,141,57.8,957,489,468
Ashe County Schools,Ashe County High,83,42.6,1085,544,541
Ashe County Schools,District Average,83,42.6,1085,544,541
Asheboro City Schools,Asheboro High,172,55.3,1014,515,499
Asheboro City Schools,District Average,172,55.3,1014,515,499
Asheville City Schools,Asheville High,150,68.8,1148,589,559
Asheville City Schools,School Of Inquiry And Life Sci,70,74.5,1116,576,539
Asheville City Schools,District Average,220,70.5,1138,585,553
Avery County Schools,Avery County High,12,18.2,1070,535,535
Avery County Schools,Avery High Stem Academy,<10,*,*,*,*
Avery County Schools,District Average,20,14.2,1052,528,523
Beaufort County Schools,Beaufort Co Early College High,15,17.6,1135,589,545
Beaufort County Schools,Northside High,31,33,1038,519,519
Beaufort County Schools,Southside High,51,45.1,990,485,505
Beaufort County Schools,Washington High,88,42.9,1025,525,500
Beaufort County Schools,District Average,185,36.8,1026,518,508
Bertie County Schools,Bertie Early College High,27,54,997,525,472
Bertie County Schools,Bertie High,47,38.2,860,437,423
Bertie County Schools,District Average,74,42.8,910,469,441
Bladen County Schools,East Bladen High,40,27.2,986,503,483
Bladen County Schools,West Bladen High,64,33.5,929,478,451
Bladen County Schools,District Average,104,30.8,951,488,463
Brunswick County Schools,Brunswick County Early College,17,16.2,1233,626,607
Brunswick County Schools,North Brunswick High,85,35.3,1034,526,508
Brunswick County Schools,South Brunswick High,82,31.4,1095,555,540
Brunswick County Schools,West Brunswick High,137,42.9,1083,544,539
Brunswick County Schools,District Average,321,33.9,1081,546,535
Buncombe County Schools,Community High School,<10,*,*,*,*
Buncombe County Schools,Early College,28,28,1204,612,592
Buncombe County Schools,Enka High,89,42,1084,548,535
Buncombe County Schools,Erwin High,77,30.3,1027,518,510
Buncombe County Schools,Middle College,<10,*,*,*,*
Buncombe County Schools,Nesbitt Discovery Academy,59,63.4,1192,593,598
Buncombe County Schools,North Buncombe High,94,41.4,1106,560,545
Buncombe County Schools,Owen High,80,55.2,1084,548,536
Buncombe County Schools,Reynolds High,140,54.1,1141,574,568
Buncombe County Schools,Roberson High,179,50,1160,583,577
Buncombe County Schools,District Average,752,44,1122,566,557
Burke County Schools,Burke Middle College,<10,*,*,*,*
Burke County Schools,East Burke High,33,14.7,1082,550,532
Burke County Schools,Freedom High,49,18.6,1124,556,567
Burke County Schools,Jimmy C Draughn High School,15,10.3,1111,537,575
Burke County Schools,Robert L. Patton High School,39,18.7,1104,543,561
Burke County Schools,District Average,143,15,1106,549,557
Cabarrus County Schools,Cabarrus-Kannapolis Early Coll,38,73.1,1117,563,554
Cabarrus County Schools,Central Cabarrus High,193,53,1081,550,531
Cabarrus County Schools,Concord High,128,46.4,1114,566,548
Cabarrus County Schools,Cox Mill High School,283,74.3,1130,568,562
Cabarrus County Schools,Hickory Ridge High,249,60.1,1127,565,562
Cabarrus County Schools,Jay M Robinson High,161,54.8,1085,539,546
Cabarrus County Schools,Mount Pleasant High,99,48.1,1095,549,546
Cabarrus County Schools,Northwest Cabarrus High,143,51.6,1091,543,548
Cabarrus County Schools,Performance Learning Center,<10,*,*,*,*
Cabarrus County Schools,District Average,1301,56.3,1107,557,551
Caldwell County Schools,Caldwell Career Cen Mid. Coll.,12,21.8,1079,547,533
Caldwell County Schools,Caldwell Early College,49,36.3,1146,589,557
Caldwell County Schools,Hibriten High,52,28.7,1024,518,505
Caldwell County Schools,South Caldwell High,135,38.1,1083,549,535
Caldwell County Schools,West Caldwell High,51,27.9,1015,517,498
Caldwell County Schools,District Average,299,32.9,1071,545,527
Camden County Schools,Camden County High,46,42.6,1068,547,522
Camden County Schools,Camden Early College High,<10,*,*,*,*
Camden County Schools,Camtech High School,<10,*,*,*,*
Camden County Schools,District Average,54,39.1,1065,545,521
Carteret County Public Schools,Croatan High,92,46.9,1196,602,594
Carteret County Public Schools,East Carteret High,35,29.4,1132,578,554
Carteret County Public Schools,West Carteret High,84,30.8,1169,584,586
Carteret County Public Schools,District Average,211,35.8,1175,591,584
Caswell County Schools,Bartlett Yancey High,95,53.7,990,508,482
Caswell County Schools,District Average,95,53.7,990,508,482
Catawba County Schools,Bandys High,81,40.9,1101,549,552
Catawba County Schools,Bunker Hill High,68,37.4,1049,530,519
Catawba County Schools,Challenger Early College High,10,11.9,1177,575,602
Catawba County Schools,Fred T Foard High,101,45.3,1102,547,556
Catawba County Schools,Maiden High,81,37.7,1094,540,554
Catawba County Schools,Saint Stephens High,139,45.7,1104,555,549
Catawba County Schools,District Average,480,39.7,1095,547,549
Chapel Hill-Carrboro City Schools,Carrboro High,100,54.6,1228,618,610
Chapel Hill-Carrboro City Schools,Chapel Hill High,236,73.3,1243,624,619
Chapel Hill-Carrboro City Schools,East Chapel Hill High,245,73.6,1290,641,649
Chapel Hill-Carrboro City Schools,Phoenix Academy High,<10,*,*,*,*
Chapel Hill-Carrboro City Schools,District Average,582,68.5,1260,630,630
Charlotte-Mecklenburg Schools,Ardrey Kell High,551,79.7,1235,612,623
Charlotte-Mecklenburg Schools,Butler High,252,52.5,1099,548,551
Charlotte-Mecklenburg Schools,Cato Middle College High,73,49,1138,583,555
Charlotte-Mecklenburg Schools,Charlotte Engineering Early Co,17,22.7,1276,625,652
Charlotte-Mecklenburg Schools,Cochrane Collegiate Academy,13,46.4,1017,505,512
Charlotte-Mecklenburg Schools,East Mecklenburg High,189,49.1,1096,547,549
Charlotte-Mecklenburg Schools,Elearning Academy,14,22.6,1121,573,549
Charlotte-Mecklenburg Schools,Garinger High,160,49.7,881,446,435
Charlotte-Mecklenburg Schools,Harding University High,93,32.2,938,475,464
Charlotte-Mecklenburg Schools,Harper Middle College High,36,32.4,1140,572,568
Charlotte-Mecklenburg Schools,Hawthorne High,22,91.7,985,510,475
Charlotte-Mecklenburg Schools,Hopewell High,139,41.4,1031,522,509
Charlotte-Mecklenburg Schools,Independence High,201,39.9,1096,551,546
Charlotte-Mecklenburg Schools,Levine Middle College High,49,32.9,1218,612,607
Charlotte-Mecklenburg Schools,Mallard Creek High,326,48.7,1034,523,511
Charlotte-Mecklenburg Schools,Merancas Middle College High,<10,*,*,*,*
Charlotte-Mecklenburg Schools,Military And Global Leadership,<10,*,*,*,*
Charlotte-Mecklenburg Schools,Myers Park High,421,61.2,1202,603,599
Charlotte-Mecklenburg Schools,North Mecklenburg High,223,50,1038,526,512
Charlotte-Mecklenburg Schools,Northwest School Of The Arts,82,66.7,1108,576,532
Charlotte-Mecklenburg Schools,Olympic High - Biotech Health,54,37,1031,525,506
Charlotte-Mecklenburg Schools,Olympic High - Renaissance Sch,54,37,992,502,490
Charlotte-Mecklenburg Schools,Olympic High-Leadership And De,34,41,941,474,466
Charlotte-Mecklenburg Schools,Olympic High-Math Eng Tech Sci,77,58.3,1128,558,570
Charlotte-Mecklenburg Schools,Olympic Team High School,24,25,938,478,459
Charlotte-Mecklenburg Schools,Performance Learning Center,10,45.5,994,538,456
Charlotte-Mecklenburg Schools,Phillip O Berry Academy Of Tec,252,66.7,1026,514,512
Charlotte-Mecklenburg Schools,Providence High,353,69.6,1255,625,630
Charlotte-Mecklenburg Schools,Rocky River High,165,47.7,955,487,468
Charlotte-Mecklenburg Schools,South Mecklenburg High,395,59.1,1132,570,563
Charlotte-Mecklenburg Schools,Vance High,145,40.4,940,478,462
Charlotte-Mecklenburg Schools,West Charlotte High,145,46,885,448,437
Charlotte-Mecklenburg Schools,West Mecklenburg High,184,48.4,909,462,447
Charlotte-Mecklenburg Schools,William Amos Hough High,424,66.9,1188,596,592
Charlotte-Mecklenburg Schools,District Average,5184,52.6,1097,551,546
Chatham County Schools,Chatham Central High,61,64.9,1032,519,513
Chatham County Schools,Jordan Matthews High,82,46.9,996,503,493
Chatham County Schools,Northwood High,199,63.6,1108,564,544
Chatham County Schools,District Average,342,58.6,1068,541,526
Cherokee County Schools,Andrews High,<10,*,*,*,*
